  CHAMBER:           1
  1.1615373E-02  0.1715284      1.1615373E-02
  1.1083507E-02  0.1715029      1.2172914E-02
  1.0575572E-02  0.1714265      1.2756531E-02
  1.0090396E-02  0.1712992      1.3367733E-02
  9.6275667E-03  0.1711204      1.4007851E-02
  9.1856029E-03  0.1708902      1.4677892E-02
  8.7639289E-03  0.1706078      1.5379336E-02
  8.3613144E-03  0.1702731      1.6113544E-02
  7.9771550E-03  0.1698853      1.6881937E-02
  7.6103844E-03  0.1694438      1.7686041E-02
  7.2604832E-03  0.1689480      1.8527139E-02
  6.9265650E-03  0.1683970      1.9406967E-02
  6.6079637E-03  0.1677898      2.0327136E-02
  6.3039833E-03  0.1671256      2.1289304E-02
  6.0137361E-03  0.1664033      2.2294845E-02
  5.7369266E-03  0.1656219      2.3345701E-02
  5.4728286E-03  0.1647802      2.4443632E-02
  5.2206884E-03  0.1638772      2.5590105E-02
  4.9804021E-03  0.1629113      2.6787337E-02
  4.7509624E-03  0.1618817      2.8036464E-02
  4.5317789E-03  0.1607871      2.9339505E-02
  4.3228953E-03  0.1596260      3.0698234E-02
  4.1237194E-03  0.1583973      3.2114368E-02
  3.9335857E-03  0.1570997      3.3589352E-02
  3.7520793E-03  0.1557323      3.5124794E-02
  3.5790086E-03  0.1542936      3.6722347E-02
  3.4139880E-03  0.1527828      3.8383190E-02
  3.2564115E-03  0.1511991      4.0108439E-02
  3.1062192E-03  0.1495416      4.1899335E-02
  2.9629087E-03  0.1478096      4.3756925E-02
  2.8260797E-03  0.1460029      4.5681823E-02
  2.6957623E-03  0.1441211      4.7674187E-02
  2.5714382E-03  0.1421644      4.9734492E-02
  2.4526936E-03  0.1401332      5.1862530E-02
  2.3392320E-03  0.1380280      5.4057848E-02
  2.2309646E-03  0.1358499      5.6319829E-02
  2.1276546E-03  0.1336002      5.8647048E-02
  2.0295244E-03  0.1312806      6.1038014E-02
  1.9357747E-03  0.1288936      6.3490517E-02
  1.8461538E-03  0.1264417      6.6002332E-02
  1.7606764E-03  0.1239279      6.8570182E-02
  1.6796313E-03  0.1213557      7.1190961E-02
  1.6018567E-03  0.1187292      7.3860765E-02
  1.5278260E-03  0.1160528      7.6575086E-02
  1.4569920E-03  0.1133316      7.9328917E-02
  1.3895469E-03  0.1105704      8.2117662E-02
  1.3251578E-03  0.1077752      8.4935322E-02
  1.2638097E-03  0.1049517      8.7776214E-02
  1.2051994E-03  0.1021063      9.0633951E-02
  1.1492160E-03  9.9245302E-02  9.3502499E-02
  CHAMBER:           2
  6.1604404E-03  0.2126133      6.1604404E-03
  5.7848664E-03  0.2125890      6.5601426E-03
  5.4320879E-03  0.2125160      6.9859186E-03
  5.1007736E-03  0.2123939      7.4389977E-03
  4.7895736E-03  0.2122224      7.9213958E-03
  4.4971565E-03  0.2120009      8.4347520E-03
  4.2225840E-03  0.2117285      8.9813871E-03
  3.9650011E-03  0.2114040      9.5630968E-03
  3.7227008E-03  0.2110265      1.0182081E-02
  3.4952045E-03  0.2105944      1.0840869E-02
  3.2817274E-03  0.2101060      1.1541917E-02
  3.0809718E-03  0.2095599      1.2287567E-02
  2.8926125E-03  0.2089539      1.3080960E-02
  2.7155916E-03  0.2082856      1.3924828E-02
  2.5494134E-03  0.2075527      1.4822415E-02
  2.3932415E-03  0.2067529      1.5776932E-02
  2.2467854E-03  0.2058828      1.6791997E-02
  2.1091062E-03  0.2049399      1.7870585E-02
  1.9797429E-03  0.2039207      1.9017301E-02
  1.8584731E-03  0.2028220      2.0235395E-02
  1.7442213E-03  0.2016399      2.1529254E-02
  1.6371584E-03  0.2003707      2.2903193E-02
  1.5364815E-03  0.1990103      2.4361350E-02
  1.4421911E-03  0.1975547      2.5908504E-02
  1.3536209E-03  0.1959994      2.7549556E-02
  1.2702243E-03  0.1943404      2.9288705E-02
  1.1921726E-03  0.1925727      3.1131128E-02
  1.1185604E-03  0.1906924      3.3081003E-02
  1.0495245E-03  0.1886946      3.5143975E-02
  9.8470610E-04  0.1865748      3.7324522E-02
  9.2384923E-04  0.1843288      3.9626699E-02
  8.6664653E-04  0.1819525      4.2055257E-02
  8.1325165E-04  0.1794421      4.4614125E-02
  7.6293031E-04  0.1767944      4.7306597E-02
  7.1546063E-04  0.1740068      5.0135758E-02
  6.7123526E-04  0.1710768      5.3103883E-02
  6.2955415E-04  0.1680032      5.6212462E-02
  5.9022941E-04  0.1647861      5.9461694E-02
  5.5350014E-04  0.1614259      6.2850982E-02
  5.1914435E-04  0.1579245      6.6378906E-02
  4.8675231E-04  0.1542855      7.0041701E-02
  4.5611896E-04  0.1505141      7.3834412E-02
  4.2753472E-04  0.1466164      7.7750988E-02
  3.9994079E-04  0.1426014      8.1782445E-02
  3.7511310E-04  0.1384780      8.5919976E-02
  3.5119045E-04  0.1342583      9.0151571E-02
  3.2896674E-04  0.1299552      9.4464131E-02
  3.0802374E-04  0.1255835      9.8843366E-02
  2.8832722E-04  0.1211588      0.1032733    
  2.6975770E-04  0.1166980      0.1077372    
  CHAMBER:           3
  5.0782380E-03  0.1747903      5.0782380E-03
  4.7690258E-03  0.1747702      5.4077241E-03
  4.4785002E-03  0.1747102      5.7582562E-03
  4.2056083E-03  0.1746097      6.1314618E-03
  3.9492976E-03  0.1744687      6.5288167E-03
  3.7084732E-03  0.1742864      6.9512744E-03
  3.4824603E-03  0.1740621      7.4015590E-03
  3.2699117E-03  0.1737952      7.8802174E-03
  3.0703081E-03  0.1734845      8.3897924E-03
  2.8830871E-03  0.1731289      8.9322338E-03
  2.7069859E-03  0.1727272      9.5090726E-03
  2.5415972E-03  0.1722778      1.0123048E-02
  2.3862608E-03  0.1717790      1.0776095E-02
